Item No.,Discipline,Severity,Reference Drawing(s)/Location,Observation/Comments
354,Mechanical,Medium,M-107_FLOOR PLAN - LEVEL 7 - MECHANICAL PLAN.pdf; M-108_FLOOR PLAN - LEVEL 8 - MECHANICAL PLAN.pdf; M-109_FLOOR PLAN - LEVEL 9 - MECHANICAL PLAN.pdf; M-110_FLOOR PLAN - LEVEL 10 - MECHANICAL PLAN.pdf; M-111_FLOOR PLAN - LEVEL 11 - MECHANICAL PLAN.pdf,"Coordination with structural beams, architectural soffits, and other trades is not documented via sections or clash diagrams for major duct/pipe runs; provide key mechanical coordination sections/elevations at congested areas and long runs."
355,Mechanical,Medium,M-137B_FLOOR PLAN - LEVEL 37 TO 48 - MECHANICAL PLAN - SECTOR B.pdf,Hydronic piping supply/return routes to fan coils are not clearly shown on plan (only equipment symbols visible); require piping diagram on plan or keyed to riser to avoid field routing assumptions.
356,Mechanical,Medium,M-137B_FLOOR PLAN - LEVEL 37 TO 48 - MECHANICAL PLAN - SECTOR B.pdf,"Duct sizes and CFM for main corridor ducts and takeoffs are missing or difficult to read, making it unclear that airflows and velocities are coordinated with diffuser schedules and noise criteria."
357,Mechanical,Medium,M-137B_FLOOR PLAN - LEVEL 37 TO 48 - MECHANICAL PLAN - SECTOR B.pdf,No dedicated mechanical indication of stair or elevator pressurization or smoke control systems at these levels; need confirmation of design approach and coordination with life-safety requirements.
358,Mechanical,Medium,M-137B_FLOOR PLAN - LEVEL 37 TO 48 - MECHANICAL PLAN - SECTOR B.pdf,"Guest toilet and dryer/kitchen exhaust riser locations and fan terminations are not clearly identified; require explicit riser tags, sizes, and roof termination references."
359,Mechanical,Medium,M-170A_FLOOR PLAN - EMR LEVEL 2 - SECTOR A.pdf,"Condensing unit pads and equipment shown at west side lack indicated structural support details, curb/stand requirements, and confirmation of roof slope/drainage coordination; contractor cannot verify final elevations or support type from this sheet."
360,Mechanical,Medium,M-170A_FLOOR PLAN - EMR LEVEL 2 - SECTOR A.pdf,"No clear indication of service/access clearances around condensing units (minimum working space, coil pull side, and path for replacement) relative to parapets and adjacent equipment; access zones should be dimensioned and/or noted."
361,Mechanical,Medium,M-170A_FLOOR PLAN - EMR LEVEL 2 - SECTOR A.pdf,"Refrigerant piping / condensate drain routing from roof condensing units to interior shafts or equipment is not shown; absence of piping paths, pipe sizes, and penetration locations creates coordination risk with structure and architecture."
362,Mechanical,Medium,M-170A_FLOOR PLAN - EMR LEVEL 2 - SECTOR A.pdf,"Mechanical room equipment (air-handling/ventilation units) lacks indicated service clearances, filter access sides, and coil pull space; no dimensions to walls/doors or access aisles provided."
363,Mechanical,Medium,M-170A_FLOOR PLAN - EMR LEVEL 2 - SECTOR A.pdf,"No exhaust/relief air discharge locations or outside air intake louver locations/duct routing to the EMR mechanical room are identified on this plan, leaving outdoor air and exhaust path coordination unclear."
364,Mechanical,Medium,M-170A_FLOOR PLAN - EMR LEVEL 2 - SECTOR A.pdf,"Condensate drainage for indoor and outdoor cooling equipment is not indicated (no drains, piping, or termination points); risk of uncoordinated roof drains and interior sanitary tie-ins."
365,Mechanical,Medium,M-170A_FLOOR PLAN - EMR LEVEL 2 - SECTOR A.pdf,Penetrations and sleeves for ducts/pipes through surrounding EMR walls/shafts are not detailed or tagged; unclear where main risers enter/exit this level for coordination with structural and fireproofing.
366,Mechanical,Medium,M-170B_FLOOR PLAN - EMR LEVEL 2 - SECTOR B.pdf,"Similar condensing units shown at north side lack structural support/curb details and roof coordination notes; no indication of mounting height, seismic/wind restraints, or housekeeping pad requirements."
367,Mechanical,Medium,M-170B_FLOOR PLAN - EMR LEVEL 2 - SECTOR B.pdf,"No indicated clear working space or maintenance access paths for rooftop and EMR equipment (no dimensions to parapets, railings, or adjacent structures); potential OSHA and manufacturer clearance conflicts."
368,Mechanical,Medium,M-170B_FLOOR PLAN - EMR LEVEL 2 - SECTOR B.pdf,Refrigerant/condensate piping routes from equipment to shafts or lower levels are not depicted; penetration locations and coordination with other trades cannot be confirmed.
369,Mechanical,Medium,M-170B_FLOOR PLAN - EMR LEVEL 2 - SECTOR B.pdf,"Outdoor air intake and exhaust/relief duct routing, louver locations, and shaft allocations are not clearly shown for the EMR mechanical room, leaving building pressurization and façade coordination ambiguous."
370,Mechanical,Medium,M-170B_FLOOR PLAN - EMR LEVEL 2 - SECTOR B.pdf,No floor drains or condensate receptor locations indicated in the EMR mechanical room; potential for uncontrolled condensate discharge or flooding during equipment maintenance.
371,Mechanical,Medium,M-303A_MECHANICAL FLOW DIAGRAM - NORTH TOWER.pdf,"Chilled water diagram shows pumps, strainers, and control valves but does not clearly indicate pipe sizes on all mains and branches; incomplete sizing hampers coordination and material takeoff."
372,Mechanical,Medium,M-303A_MECHANICAL FLOW DIAGRAM - NORTH TOWER.pdf,Locations and mounting elevations for differential pressure transmitters and flow meters are not identified; need explicit locations for coordination with piping and BMS.
373,Mechanical,Medium,M-303A_MECHANICAL FLOW DIAGRAM - NORTH TOWER.pdf,No dedicated drain or service isolation arrangement is clearly shown for expansion tank and air separator assemblies; maintenance and replacement provisions are ambiguous.
374,Mechanical,Medium,M-303A_MECHANICAL FLOW DIAGRAM - NORTH TOWER.pdf,"Diagram shows condenser water pumps and cooling tower connections but does not clearly indicate provisions for tower basin drain, tower overflow, or sidestream filtration tie-ins, which are typically required."
375,Mechanical,Medium,M-303A_MECHANICAL FLOW DIAGRAM - NORTH TOWER.pdf,"Primary/secondary connections at heat exchangers are shown schematically without explicit valve types (isolation, balance, control) and without clear bypass arrangements; need detailed valve schedule/notation for constructability."
376,Mechanical,Medium,M-303B_MECHANICAL FLOW DIAGRAM - SOUTH TOWER.pdf,"Similar to North Tower, several mains and branches lack explicit pipe size callouts, making hydraulic verification and coordination with riser diagrams incomplete."
377,Mechanical,Medium,M-303B_MECHANICAL FLOW DIAGRAM - SOUTH TOWER.pdf,"Pump suction/discharge arrangements do not clearly show minimum required straight lengths, eccentric reducer orientation, or suction diffusers; constructability and performance could be impacted."
378,Mechanical,Medium,M-303B_MECHANICAL FLOW DIAGRAM - SOUTH TOWER.pdf,"Chemical pot feeder and system fill/makeup connections are only schematically indicated; no clear valving, backflow prevention, or drain details are provided, leaving installation method ambiguous."
379,Mechanical,Medium,M-303B_MECHANICAL FLOW DIAGRAM - SOUTH TOWER.pdf,"Standby pump and bypass configurations are not clearly labeled with flow direction and valve normally open/closed positions, which can cause confusion during installation and commissioning."
380,Mechanical,Medium,M-401A_MECHANICAL SCHEDULES - NORTH TOWER 1.pdf,"Fan schedule lists equipment but does not indicate required service clearances or access side for coils, filters, and drives, making mechanical room and ceiling coordination difficult."
381,Mechanical,Medium,M-401A_MECHANICAL SCHEDULES - NORTH TOWER 1.pdf,Controls/BMS points columns reference generic control types but do not define specific points or sequences; integration requirements with BMS are ambiguous without a separate control diagram.
382,Mechanical,Medium,M-401A_MECHANICAL SCHEDULES - NORTH TOWER 1.pdf,"Boiler schedule does not indicate required flue sizes, venting configuration (common vs. dedicated), or combustion air requirements, preventing confirmation of chimney/shaft sizing and coordination."
383,Mechanical,Medium,M-401A_MECHANICAL SCHEDULES - NORTH TOWER 1.pdf,"Cooling tower schedule lacks explicit basin heater, sump drain, overflow, and access/maintenance requirements, which are needed to coordinate piping, electrical, and structural supports."
384,Mechanical,Medium,M-401A_MECHANICAL SCHEDULES - NORTH TOWER 1.pdf,"Condenser water pump schedule does not show NPSH requirements, minimum submergence, or suction piping configuration, making it difficult to validate mechanical room layout and cavitation risk."
385,Mechanical,Medium,M-401A_MECHANICAL SCHEDULES - NORTH TOWER 1.pdf,"Plate-and-frame heat exchanger schedule omits required approach temperatures and pressure drops for both sides; without this, piping and pump sizing verification is not possible."
386,Mechanical,Medium,M-401A_MECHANICAL SCHEDULES - NORTH TOWER 1.pdf,"Fuel oil tank and pump schedules do not reference specific fuel oil diagrams (M-306/M-307) for controls and safety devices, leaving ambiguity about required accessories (leak detection, monitoring, vents)."
387,Mechanical,Medium,M-401A_MECHANICAL SCHEDULES - NORTH TOWER 1.pdf,"Mechanical schedules sheet does not provide clear cross-reference to typical installation details (vibration isolation, housekeeping pads, seismic restraints), so constructability and coordination of supports cannot be confirmed."
388,Mechanical,Medium,M-401B_MECHANICAL SCHEDULES - SOUTH TOWER 1.pdf,"Fan schedule lists numerous fans with CFM and ESP but does not indicate associated duct system static loss assumptions (main duct sizes, lengths, fittings), making it difficult to verify that scheduled fan ESP is adequate for actual layouts."
389,Mechanical,Medium,M-401B_MECHANICAL SCHEDULES - SOUTH TOWER 1.pdf,"Several fan entries reference notes and accessories (e.g., sound traps, backdraft dampers, redundancy) but there is no explicit indication of required vibration isolation type, flexible connectors, or seismic restraints at each fan, leaving constructability and coordination with structural unclear."
390,Mechanical,Medium,M-401B_MECHANICAL SCHEDULES - SOUTH TOWER 1.pdf,"Fan schedule does not clearly identify power/voltage/phase for each fan motor (only HP and RPM visible), which prevents coordination with electrical drawings and may lead to mismatched starters/disconnects."
391,Mechanical,Medium,M-401B_MECHANICAL SCHEDULES - SOUTH TOWER 1.pdf,"No fields are provided for duct connection sizes and orientations (inlet/outlet dimensions, top/side discharge) for fans, which are needed to coordinate with ductwork routing and shaft space."
392,Mechanical,Medium,M-401B_MECHANICAL SCHEDULES - SOUTH TOWER 1.pdf,"Pump schedule appears to list flow and head but does not show NPSH required/available or minimum submergence for any pumps, which is needed to avoid cavitation and to coordinate suction piping and tank elevations."
393,Mechanical,Medium,M-401B_MECHANICAL SCHEDULES - SOUTH TOWER 1.pdf,"Pump schedule does not indicate whether pumps are base-mounted or inline, nor required orientation and service clearances, which affects housekeeping pad sizes and piping layout in mechanical rooms."
394,Mechanical,Medium,M-401B_MECHANICAL SCHEDULES - SOUTH TOWER 1.pdf,"Boiler schedule provides capacity but does not clearly state required flue sizes, vent materials, or combustion air quantities for each boiler, leaving vent routing and combustion air shaft sizing uncoordinated."
395,Mechanical,Medium,M-401B_MECHANICAL SCHEDULES - SOUTH TOWER 1.pdf,"Boiler schedule does not show required minimum clearances for service (front, rear, sides, top) or access for tube pulling/heat exchanger removal, which are necessary to verify mechanical room layouts."
396,Mechanical,Medium,M-401B_MECHANICAL SCHEDULES - SOUTH TOWER 1.pdf,"Cooling tower schedule does not indicate required basin heater capacity, winterization provisions, or overflow/bleed-off piping requirements, which are needed for piping design and freeze protection strategy."
397,Mechanical,Medium,M-401B_MECHANICAL SCHEDULES - SOUTH TOWER 1.pdf,"Cooling tower schedule lacks information on required approach temperature, entering/leaving condenser water temperatures, and design wet bulb used, making it difficult to confirm tower sizing and compatibility with chiller/heat exchanger selections."
398,Mechanical,Medium,M-401B_MECHANICAL SCHEDULES - SOUTH TOWER 1.pdf,"Plate & frame heat exchanger schedule does not show design fouling factor, pressure drop limits, or required isolation/bypass valve arrangement, which are needed for constructability and future maintenance."
399,Mechanical,Medium,M-401B_MECHANICAL SCHEDULES - SOUTH TOWER 1.pdf,"No nozzle size, orientation, or elevation data is given for plate & frame heat exchangers, leaving piping coordination within mechanical rooms ambiguous."
400,Mechanical,Medium,M-401B_MECHANICAL SCHEDULES - SOUTH TOWER 1.pdf,"Expansion tank schedule lists volumes but does not indicate system design temperatures/pressures or required precharge settings, which are necessary for proper sizing and field setup."
401,Mechanical,Medium,M-401B_MECHANICAL SCHEDULES - SOUTH TOWER 1.pdf,"Expansion tank schedule does not indicate whether tanks are floor-mounted or ceiling-hung and omits required clearances and support details, impacting structural coordination and access."
402,Mechanical,Medium,M-401B_MECHANICAL SCHEDULES - SOUTH TOWER 1.pdf,"Condensate water filter schedule does not indicate required isolation valves, bypass arrangement, or differential pressure gauges, leading to ambiguity in constructability and maintenance access."
403,Mechanical,Medium,M-401B_MECHANICAL SCHEDULES - SOUTH TOWER 1.pdf,"VRF indoor/outdoor unit schedules do not show required refrigerant line sizes, maximum allowable line lengths/height differences, or branch selector configurations, making it impossible to verify refrigerant piping design and coordination with architecture."
404,Mechanical,Medium,M-401B_MECHANICAL SCHEDULES - SOUTH TOWER 1.pdf,"VRF indoor unit schedule omits condensate drain connection sizes, trap requirements, and whether pumps are integral or remote, which are critical for routing condensate piping and preventing overflow issues."
405,Mechanical,Medium,M-401B_MECHANICAL SCHEDULES - SOUTH TOWER 1.pdf,"Air/dirt separator schedule does not specify required straight pipe lengths upstream/downstream or installation orientation, which can affect performance and needs to be coordinated with piping layout."
406,Mechanical,Medium,M-401B_MECHANICAL SCHEDULES - SOUTH TOWER 1.pdf,"Multiple schedule notes reference controls/BMS interface (e.g., enable signals, alarms, BAS control) but there is no clear cross-reference to control diagrams or point lists on this sheet, leaving BAS scope and wiring coordination ambiguous."
407,Mechanical,Medium,M-402A_MECHANICAL SCHEDULES - NORTH TOWER 2.pdf,"100% OA unit schedule does not clearly list unit physical dimensions, weight, access side, or required maintenance clearances, preventing verification that units fit in designated mechanical rooms/roofs with adequate service access."
408,Mechanical,Medium,M-402A_MECHANICAL SCHEDULES - NORTH TOWER 2.pdf,"OA unit schedule does not indicate supply/return/relief duct connection sizes and locations, complicating ductwork coordination and shaft sizing."
409,Mechanical,Medium,M-402A_MECHANICAL SCHEDULES - NORTH TOWER 2.pdf,"Schedule lacks coil entering/leaving air and water temperatures and design water flow/ΔT for heating/cooling coils, making it difficult to confirm coil capacities and hydronic system balance."
410,Mechanical,Medium,M-402A_MECHANICAL SCHEDULES - NORTH TOWER 2.pdf,"OA unit schedule does not show filter sizes, MERV ratings, or pressure drops, which are needed to verify fan ESP and filter rack construction."
411,Mechanical,Medium,M-402A_MECHANICAL SCHEDULES - NORTH TOWER 2.pdf,"OA units include humidification/dehumidification functions per notes, but there is no clear indication of required steam/hot water connections, drain requirements, or control sequences, leaving constructability and control integration unclear."
412,Mechanical,Medium,M-402A_MECHANICAL SCHEDULES - NORTH TOWER 2.pdf,"Air outlet & inlet schedule does not show neck sizes, ceiling module compatibility, or mounting details (lay-in vs hard ceiling), which are required for coordination with architectural reflected ceiling plans."
413,Mechanical,Medium,M-402A_MECHANICAL SCHEDULES - NORTH TOWER 2.pdf,"Schedule omits sound performance data (NC or dBA at design flow) for diffusers and grilles, making it impossible to verify acoustic performance in critical spaces."
414,Mechanical,Medium,M-402A_MECHANICAL SCHEDULES - NORTH TOWER 2.pdf,"Linear diffuser schedule does not clearly indicate required plenum sizes, slot configurations, or exact lengths per room, which affects duct connection design and field cutting/assembly."
415,Mechanical,Medium,M-402A_MECHANICAL SCHEDULES - NORTH TOWER 2.pdf,"Electrostatic precipitator schedule lacks information on required access clearances for cell removal, door swing, and service, making it difficult to ensure adequate space in duct shafts or rooms."
416,Mechanical,Medium,M-402A_MECHANICAL SCHEDULES - NORTH TOWER 2.pdf,"Electrostatic precipitator schedule does not indicate pressure drop at design airflow or maximum allowable duct velocity, which are needed to size fans and ducts correctly."
417,Mechanical,Medium,M-402B_MECHANICAL SCHEDULES - SOUTH TOWER 2.pdf,"South tower OA unit schedule has same omissions as North (no dimensions, weights, coil temperatures/flows, or duct connection sizes), preventing confirmation of fit, structural loading, and hydronic/airside coordination."
418,Mechanical,Medium,M-402B_MECHANICAL SCHEDULES - SOUTH TOWER 2.pdf,"OA unit notes reference smoke detector locations and unit shutdown on alarm, but there is no clear indication of who provides and wires detectors (mechanical vs electrical vs fire alarm), creating scope ambiguity."
419,Mechanical,Medium,M-402B_MECHANICAL SCHEDULES - SOUTH TOWER 2.pdf,"Air outlet & inlet schedule does not identify ceiling types or mounting heights associated with each device tag, complicating coordination with architectural elevations and ceilings."
420,Mechanical,Medium,M-402B_MECHANICAL SCHEDULES - SOUTH TOWER 2.pdf,"Linear diffuser schedule lacks explicit requirement for balancing dampers (in-duct vs integral) at each diffuser, which impacts TAB and ductwork detailing."
421,Mechanical,Medium,M-402B_MECHANICAL SCHEDULES - SOUTH TOWER 2.pdf,"Vibration isolation schedule lists isolator types but does not tie each isolator to specific equipment tags (fans, pumps, AHUs), making it unclear which isolation type and deflection is required for each piece of equipment."
422,Mechanical,Medium,M-402B_MECHANICAL SCHEDULES - SOUTH TOWER 2.pdf,"Vibration isolation schedule does not specify seismic restraint requirements or coordination with structural anchorage details, which is critical in high-wind/seismic regions."
423,Mechanical,Medium,M-410_MECHANICAL VENTILATION CALCULATIONS.pdf,"Ventilation calculations list required and provided CFM per space but do not reference specific supply/return/exhaust device tags, making it difficult to verify that scheduled diffusers/grilles on plans match calculated airflow."
424,Mechanical,Medium,M-410_MECHANICAL VENTILATION CALCULATIONS.pdf,"Table does not indicate applicable code sections, occupancy categories, or people/area factors used for each space type, so compliance with current mechanical code cannot be confirmed."
425,Mechanical,Medium,M-410_MECHANICAL VENTILATION CALCULATIONS.pdf,"No diversity or simultaneity assumptions are stated for multi-use or intermittently occupied spaces, leaving uncertainty on how system-level outside air totals were derived."
426,Mechanical,Medium,M-410_MECHANICAL VENTILATION CALCULATIONS.pdf,"Exhaust requirements for special spaces (e.g., kitchens, restrooms, trash rooms) are listed only as CFM without noting required capture velocities, hood types, or continuous vs intermittent operation, which impacts equipment sizing and controls."
427,Mechanical,Medium,M-410_MECHANICAL VENTILATION CALCULATIONS.pdf,"Sheet does not provide a summary of total building outside air and exhaust by air-handling system, making it difficult to reconcile calculations with AHU/DOAS capacities on schedules."
428,Mechanical,Medium,M-411_MECHANICAL VENTILATION CALCULATIONS.pdf,"Upper-level ventilation tables similarly do not link spaces to specific mechanical systems or terminal units, so it is unclear which AHU/DOAS serves each zone for balancing and controls."
429,Mechanical,Medium,M-411_MECHANICAL VENTILATION CALCULATIONS.pdf,"Calculations do not indicate pressurization strategy (e.g., positive pressure for corridors, negative for restrooms/trash rooms) or how supply vs exhaust is balanced, leaving building pressure control uncoordinated."
430,Mechanical,Medium,M-411_MECHANICAL VENTILATION CALCULATIONS.pdf,"No allowance or notes are provided for future tenant fit-out loads or changes in occupancy in shell spaces, which may result in under-sized ventilation systems if actual use differs from assumed."
431,Mechanical,Medium,M-411_MECHANICAL VENTILATION CALCULATIONS.pdf,"Sheet lacks any narrative or sequence tying ventilation rates to demand-control ventilation, occupancy sensors, or scheduling where referenced in other documents, making constructability of control strategies unclear."
432,Mechanical,Medium,230713 - Duct insulation.pdf,"Duct insulation summary lists many duct types but does not indicate insulation thickness, material type, or vapor barrier requirements by service/temperature/location, leaving constructability and energy-code compliance criteria to interpretation."
433,Mechanical,Medium,230713 - Duct insulation.pdf,"Outdoor exhaust ductwork and indoor smoke control ductwork are listed but there is no reference on this page to fire/smoke rating, UL assemblies, or external fireproofing requirements typically required for smoke control/shaft ducts."
434,Mechanical,Medium,230713 - Duct insulation.pdf,"Shop drawing requirements call for “plans, elevations, sections, details” but do not explicitly require coordination of insulation thickness with clearances in shafts/ceilings or with access to equipment and fire/smoke dampers, which may cause field conflicts."
435,Mechanical,Medium,230719 - Hvac piping insulation.pdf,"Piping insulation summary includes domestic make-up cold water and diesel exhaust but does not clearly address all hydronic piping shown elsewhere (e.g., condenser water, secondary chilled water, drain piping subject to condensation), leaving gaps in insulation scope."
436,Mechanical,Medium,230719 - Hvac piping insulation.pdf,"Shop drawing requirements call for detailed insulation applications but do not require demonstrating that insulation plus shields/hangers fit within available ceiling/shaft space and maintain access to valves and specialties, risking constructability conflicts."
437,Mechanical,Medium,232113 - Hydronic piping.pdf,"Performance requirements list pressure/temperature ratings for “Hot Water Piping (Tower 1 and Tower 2)” only; no minimum design pressure/temperature criteria stated for chilled-water, condenser-water, makeup-water, or condensate-drain piping, leaving system design basis ambiguous."
438,Mechanical,Medium,232113 - Hydronic piping.pdf,"Summary lists multiple hydronic systems (hot water, chilled water, condenser water, makeup, condensate) but this page provides no cross-reference to required piping materials, joint types, or insulation standards for each system, making it unclear how each system is to be constructed until later parts of the spec (cannot be confirmed from this page)."
439,Mechanical,Medium,232116 - Hydronic piping specialties.pdf,"Summary references “special-duty valves and specialties” for several systems, but there is no indication on this page of required locations for balance valves, strainers, air separators, relief valves, or drain valves in relation to equipment, leaving field installation and coordination intent unclear pending additional documents."
440,Mechanical,Medium,232116 - Hydronic piping specialties.pdf,"Action, closeout, and maintenance submittals are defined, but there is no requirement on this page for factory startup, field calibration, or commissioning procedures for automatic flow control and balancing valves, which may impact TAB and system performance expectations."
441,Mechanical,Medium,232123 - Hydronic pumps.pdf,"Summary identifies “close-coupled, in-line centrifugal pumps” and “automatic condensate pump units,” but there is no indication on this page of required pump redundancy, standby capacity, or duty/standby configuration, leaving system reliability and valving/headers for changeover undefined."
442,Mechanical,Medium,232123 - Hydronic pumps.pdf,"Specification establishes general performance and quality standards but provides no minimum NPSH available, allowable vibration limits, or alignment/tolerance criteria for in-line pumps on this page, which are typically needed to coordinate piping elevations, supports, and base details."
443,Mechanical,Medium,232123 - Hydronic pumps.pdf,"Regulatory and single-source requirements are listed, but there is no indication on this page of required factory testing (hydrostatic, performance) or field testing/commissioning for pumps, creating ambiguity on acceptance criteria and coordination with TAB."
444,Mechanical,Medium,232513 - Water treatment for closed-loop hydronic systems.pdf,"Closed-loop water treatment section defines submittal data but does not identify on this page required locations, connection details, or minimum clearances for chemical feed equipment, sample coolers, or bypass feeders in mechanical rooms, leaving physical coordination and piping tie-ins undefined."
445,Mechanical,Medium,232513 - Water treatment for closed-loop hydronic systems.pdf,"Section calls for treatment of hot-water and condenser closed systems but does not state required initial cleaning/flushing procedures, passivation steps, or flushing flow rates on this page, which are typically critical to coordinate temporary connections, drains, and contractor responsibilities."
446,Mechanical,Medium,233413 - Axial hvac fans.pdf,"Axial fan spec requires extensive shop drawing and product data but provides no minimum performance criteria (static pressure range, efficiency, sound limits, temperature ratings) or reference to fan schedule on this page, making basis of design and sizing requirements ambiguous for procurement."
447,Mechanical,Medium,233413 - Axial hvac fans.pdf,"Shop drawing requirements call for vibration isolation base design and structural attachment details, but there is no coordination direction with structural engineer or criteria for allowable equipment loads and deflections, creating risk that isolation bases and anchorage cannot be accommodated in available structure."
448,Mechanical,Medium,233416 - Centrifugal hvac fans.pdf,"Centrifugal fan section mirrors axial fan requirements but similarly lacks defined minimum efficiency, static pressure, sound power limits, or duty classifications on this page; without a referenced fan schedule or performance table, fan selection and coordination with ductwork and acoustics are unclear."
449,Mechanical,Medium,233416 - Centrifugal hvac fans.pdf,"Vibration isolation base design is delegated to contractor without specifying design criteria (seismic requirements, allowable vibration, coordination with housekeeping pads and clearances), which may lead to bases that conflict with architectural/structural constraints."
450,Mechanical,Medium,233600 - Air terminal units.pdf,"Performance requirement for “duct hangers and supports” is included in air terminal unit spec but does not define specific hanger spacing, attachment methods, or coordination with building structure on this page; unclear responsibilities between this section and general duct support requirements."
451,Mechanical,Medium,233600 - Air terminal units.pdf,"Shop and coordination drawing requirements call for ATU clearances, supports, wiring, and access modules but there is no explicit minimum service clearance, access panel size, or requirement to align access with ceiling types and adjacent trades, making field access to ATUs and controls potentially unconstructible without further direction."
452,Mechanical,Medium,"233713 - Diffusers, registers, and grilles.pdf","Spec lists diffuser/register/grille types but does not reference any schedule or performance criteria (neck size, CFM, NC, throw, finish) needed for selection and coordination with air balance; clarify where these requirements are defined."
453,Mechanical,Medium,"233713 - Diffusers, registers, and grilles.pdf","Multiple industry standards (ARI, ANSI/ASHRAE, ADC, AMCA, NFPA, UL) are cited but specific editions and applicable test procedures are not identified, creating ambiguity for submittal review and compliance."
454,Mechanical,Medium,238146 - Water source unitary heat pumps (water to air).pdf,"Specification requires shop drawings to indicate “required clearances” but does not define minimum service/access clearances for water-source heat pumps, leaving constructability and maintenance space requirements ambiguous."
455,Mechanical,Medium,238146 - Water source unitary heat pumps (water to air).pdf,"Shop drawing requirements call for “location and size of each field connection” but do not explicitly require identification of condensate connection locations and routing provisions, creating ambiguity for condensate management and coordination."
456,Mechanical,Medium,238146 - Water source unitary heat pumps (water to air).pdf,"Coordination drawing reference is generic to Division 23 “Basic Mechanical Requirements” and does not specifically call out coordination of units with architectural ceilings, structural elements, and shafts for these water-source heat pumps, risking insufficient space and access."
457,Mechanical,Medium,238146 - Water source unitary heat pumps (water to air).pdf,"“Special warranty specified in this Section” is referenced but no warranty duration or specific requirements are stated on this page, leaving mechanical warranty obligations unclear for procurement and turnover."
458,Mechanical,Medium,238146 - Water source unitary heat pumps (water to air).pdf,"Maintenance material requirements only mention matched fan belts for belt-driven fans; no spare filters, coils, controls components, or other typical service parts are specified, which may be insufficient for long-term serviceability expectations."
459,Mechanical,Low,230516 - Expansion fittings and loops for hvac piping.pdf,"Delegated-design requirement for anchors/alignment guides calls for PE‑sealed calculations but does not define minimum information to be shown on contract drawings (anchor locations, fixed points, loops, guides), making it unclear what basis the delegated designer should start from and risking field re‑design."
460,Mechanical,Low,230516 - Expansion fittings and loops for hvac piping.pdf,"Performance requirements reference compatibility with “piping service fluids, materials, working pressures, and temperatures” and 200% axial movement but no specific design criteria (system temperatures, piping materials, anchor spacing) are provided, leaving constructible sizing and selection assumptions undefined."
461,Mechanical,Low,230518 - Escutcheons for hvac piping.pdf,"Spec requires “close fitting escutcheons on both sides of piping…through required Fire Rated Walls, Floors, Partitions and Ceilings,” but does not reference firestopping assemblies or detail coordination with firestopping system requirements; clarify interface responsibilities and acceptable escutcheon/firestop configurations."
462,Mechanical,Low,230519 - Meters and gages for hvac piping.pdf,Section lists multiple meter and gage types but provides no indication of which systems or locations each device type applies to; require coordination with piping diagrams/schedules or a device application matrix so contractor can determine where each type is used.
463,Mechanical,Low,230519 - Meters and gages for hvac piping.pdf,"Wiring diagrams are required “for power, signal, and control wiring,” but no reference is made to Division 25/26/27/28 coordination or controls drawings for terminations and point lists; clarify which discipline provides final wiring details and control integration for each meter/gage type."
464,Mechanical,Low,230523 - General duty valves for hvac piping.pdf,"Valve section lists multiple valve types (ball, butterfly, check, gate, globe, plug, etc.) without defining service/application (chilled water, condenser water, heating water, glycol, etc.) or pressure/temperature ranges; need valve application schedule or cross-reference to piping schematics so contractor can select correct valve type per service."
465,Mechanical,Low,230523 - General duty valves for hvac piping.pdf,"Related Section 23 05 53 for valve tags and schedules is referenced but no actual valve schedule or tagging scheme is shown on this page; confirm that a complete valve schedule with tag numbers, locations, and normally open/closed positions is provided elsewhere."
466,Mechanical,Low,230716 - Hvac equiment insulation.pdf,"Equipment insulation scope lists only three equipment types (expansion tanks, air separators, boiler breeching); lack of explicit direction for other common equipment (pumps, heat exchangers, storage tanks, PRVs, etc.) creates ambiguity on which items receive field-applied insulation."
467,Mechanical,Low,230716 - Hvac equiment insulation.pdf,"Requirement to “detail field application for each equipment type” is not tied to a schedule of required insulation thicknesses and finishes by equipment/temperature service, making it unclear what performance is to be met in design and submittals."
468,Mechanical,,M-502_MECHANICAL DETAILS.pdf,"Thermometer well details do not indicate required straight‑run lengths, insulation treatment, or clear working space for reading and replacement, which may affect accuracy and serviceability."
469,Mechanical,,M-502_MECHANICAL DETAILS.pdf,"Typical gauge piping detail lacks indication of shutoff/isolation valves and test cocks required for gauge removal and calibration, making maintenance and replacement difficult."
470,Mechanical,,M-502_MECHANICAL DETAILS.pdf,"Pipe hanger and support schedule does not reference allowable pipe sizes, loads, or maximum hanger spacing per pipe material, limiting its usefulness for sizing hangers and coordinating with structural."
471,Mechanical,,M-502_MECHANICAL DETAILS.pdf,"Roof exhaust fan curb detail omits vibration isolation requirements (spring type, deflection), seismic/wind restraints, and coordination with roofing system, creating risk of non‑compliant installation and roof leakage."
472,Mechanical,,M-502_MECHANICAL DETAILS.pdf,"Roof penetration details for ducts/flues do not specify required clearances to combustibles, minimum heights above roof, or separation from outdoor air intakes, leaving code compliance and coordination with other rooftop elements unclear."
473,Mechanical,,M-502_MECHANICAL DETAILS.pdf,"Low pressure duct riser support detail does not indicate maximum duct size/weight or vertical spacing of supports, making it difficult to verify adequacy of support for tall risers."
